modelo,busqueda,.metric,.estimator,mean,n,std_err,mtry,min_n,.config,tree_depth,learn_rate,loss_reduction,sample_size
GBM,grid,pr_auc,binary,0.9694977719972555,5,0.0021567157346263034,9,15,pre0_mod49_post0,1,0.03,1e-5,0.7
GBM,grid,roc_auc,binary,0.8666528032442818,5,0.008426045988846822,9,15,pre0_mod49_post0,1,0.03,1e-5,0.7
GBM,grid,f_meas,binary,0.9196472186660914,5,0.00697591813743171,9,15,pre0_mod50_post0,1,0.03,1e-5,0.9
GBM,grid,pr_auc,binary,0.9728395459465782,5,0.002981904497000875,9,15,pre0_mod50_post0,1,0.03,1e-5,0.9
GBM,grid,roc_auc,binary,0.8847137685483549,5,0.01210366795547846,9,15,pre0_mod50_post0,1,0.03,1e-5,0.9
GBM,grid,f_meas,binary,0.908517107082167,5,0.004666153843908423,9,15,pre0_mod51_post0,1,0.03,0.01,0.7
GBM,grid,pr_auc,binary,0.9694175434306233,5,0.002446519530015847,9,15,pre0_mod51_post0,1,0.03,0.01,0.7
GBM,grid,roc_auc,binary,0.8662476296561509,5,0.010090352299590977,9,15,pre0_mod51_post0,1,0.03,0.01,0.7
GBM,grid,f_meas,binary,0.9183206711335975,5,0.006503572212738546,9,15,pre0_mod52_post0,1,0.03,0.01,0.9
GBM,grid,pr_auc,binary,0.9724519462967682,5,0.003132082278104414,9,15,pre0_mod52_post0,1,0.03,0.01,0.9
GBM,grid,roc_auc,binary,0.8835306761371925,5,0.01261717358234001,9,15,pre0_mod52_post0,1,0.03,0.01,0.9
GBM,grid,f_meas,binary,0.9081170545606084,5,0.005923479145406454,9,15,pre0_mod53_post0,1,0.08,1e-5,0.7
GBM,grid,pr_auc,binary,0.9669661433626723,5,0.0025503313623038986,9,15,pre0_mod53_post0,1,0.08,1e-5,0.7
GBM,grid,roc_auc,binary,0.8567931975200146,5,0.0103031989036896,9,15,pre0_mod53_post0,1,0.08,1e-5,0.7
GBM,grid,f_meas,binary,0.9190970850049599,5,0.005964749393717495,9,15,pre0_mod54_post0,1,0.08,1e-5,0.9
GBM,grid,pr_auc,binary,0.9699430190199579,5,0.001469788992756133,9,15,pre0_mod54_post0,1,0.08,1e-5,0.9
GBM,grid,roc_auc,binary,0.8722824376959715,5,0.006443384504584094,9,15,pre0_mod54_post0,1,0.08,1e-5,0.9
GBM,grid,f_meas,binary,0.9093997956888716,5,0.004867870701768959,9,15,pre0_mod55_post0,1,0.08,0.01,0.7
GBM,grid,pr_auc,binary,0.9673092481312109,5,0.001815359378382111,9,15,pre0_mod55_post0,1,0.08,0.01,0.7
GBM,grid,roc_auc,binary,0.858460967232897,5,0.008269181569173145,9,15,pre0_mod55_post0,1,0.08,0.01,0.7
GBM,grid,f_meas,binary,0.9205182404050757,5,0.0055147208027223945,9,15,pre0_mod56_post0,1,0.08,0.01,0.9
GBM,grid,pr_auc,binary,0.970311831484378,5,0.0020761398266092496,9,15,pre0_mod56_post0,1,0.08,0.01,0.9
GBM,grid,roc_auc,binary,0.8732309971658342,5,0.008008689666213646,9,15,pre0_mod56_post0,1,0.08,0.01,0.9
GBM,grid,f_meas,binary,0.9109728654211723,5,0.0043499915862703865,9,15,pre0_mod57_post0,3,0.03,1e-5,0.7
GBM,grid,pr_auc,binary,0.9663987816397814,5,0.0031795120252277914,9,15,pre0_mod57_post0,3,0.03,1e-5,0.7
GBM,grid,roc_auc,binary,0.8554259626941331,5,0.012891898304437288,9,15,pre0_mod57_post0,3,0.03,1e-5,0.7
GBM,grid,f_meas,binary,0.9249363258377157,5,0.006698359159716238,9,15,pre0_mod58_post0,3,0.03,1e-5,0.9
GBM,grid,pr_auc,binary,0.9722971215245196,5,0.002655702193381866,9,15,pre0_mod58_post0,3,0.03,1e-5,0.9
GBM,grid,roc_auc,binary,0.8810967413724305,5,0.010041063407639175,9,15,pre0_mod58_post0,3,0.03,1e-5,0.9
GBM,grid,f_meas,binary,0.9087828016923772,5,0.004812222725212747,9,15,pre0_mod59_post0,3,0.03,0.01,0.7
GBM,grid,pr_auc,binary,0.9664671971554171,5,0.002680080485152617,9,15,pre0_mod59_post0,3,0.03,0.01,0.7
GBM,grid,roc_auc,binary,0.8541460674292753,5,0.010819462727166575,9,15,pre0_mod59_post0,3,0.03,0.01,0.7
GBM,grid,f_meas,binary,0.9257326851636645,5,0.007206370009781935,9,15,pre0_mod60_post0,3,0.03,0.01,0.9
GBM,grid,pr_auc,binary,0.9728275622627632,5,0.0030182312583898027,9,15,pre0_mod60_post0,3,0.03,0.01,0.9
GBM,grid,roc_auc,binary,0.8825857934880491,5,0.011651410564635945,9,15,pre0_mod60_post0,3,0.03,0.01,0.9
GBM,grid,f_meas,binary,0.9118818377752768,5,0.005353900807926456,9,15,pre0_mod61_post0,3,0.08,1e-5,0.7
GBM,grid,pr_auc,binary,0.9645185068748989,5,0.0035652469087622996,9,15,pre0_mod61_post0,3,0.08,1e-5,0.7
GBM,grid,roc_auc,binary,0.8482448907260938,5,0.013564372515139264,9,15,pre0_mod61_post0,3,0.08,1e-5,0.7
